date,subject,condition,sex,experimenter,trial_num,platform,distance,laser_trial,outcome
2023-07-26,WT0002R1,control,M,MLP,1,3,16,0,2
2023-07-26,WT0002R1,control,M,MLP,2,3,16,0,2
2023-07-26,WT0002R1,control,M,MLP,3,1,10,0,2
2023-07-26,WT0002R1,control,M,MLP,4,2,12,0,1
2023-07-26,WT0002R1,control,M,MLP,5,2,14,0,2
2023-07-26,WT0002R1,control,M,MLP,6,5,12,0,2
2023-07-26,WT0002R1,control,M,MLP,7,3,16,0,1
2023-07-26,WT0002R1,control,M,MLP,8,3,14,0,0
2023-07-26,WT0002R1,control,M,MLP,9,5,12,0,1
2023-07-26,WT0002R1,control,M,MLP,10,3,18,0,1
2023-07-26,WT0002R1,control,M,MLP,11,3,18,0,1
2023-07-26,WT0002R1,control,M,MLP,12,3,10,0,1
2023-07-26,WT0002R1,control,M,MLP,13,3,16,0,2
2023-07-26,WT0002R1,control,M,MLP,14,3,14,0,2
2023-07-26,WT0002R1,control,M,MLP,15,3,20,0,2
2023-07-26,WT0002R1,control,M,MLP,16,3,14,0,2
2023-07-26,WT0002R1,control,M,MLP,17,2,12,0,0
2023-07-26,WT0002R1,control,M,MLP,18,3,12,0,1
2023-07-26,WT0002R1,control,M,MLP,19,3,14,0,2
2023-07-26,WT0002R1,control,M,MLP,20,3,14,0,1
2023-07-26,WT0002R1,control,M,MLP,21,3,18,0,2
2023-07-26,WT0002R1,control,M,MLP,22,3,14,0,2
2023-07-26,WT0002R1,control,M,MLP,23,3,18,0,2
2023-07-26,WT0002R1,control,M,MLP,24,5,18,0,2
2023-07-26,WT0002R1,control,M,MLP,25,3,20,0,2
2023-07-26,WT0002R1,control,M,MLP,26,3,20,0,0
2023-07-26,WT0002R1,control,M,MLP,27,3,12,0,1
2023-07-26,WT0002R1,control,M,MLP,28,1,10,0,1
2023-07-26,WT0002R1,control,M,MLP,29,5,16,0,2
2023-07-26,WT0002R1,control,M,MLP,30,1,20,0,0
2023-07-26,WT0002R1,control,M,MLP,31,3,14,0,1
2023-07-26,WT0002R1,control,M,MLP,32,3,14,0,1
2023-07-26,WT0002R1,control,M,MLP,33,3,16,0,1
2023-07-26,WT0002R1,control,M,MLP,34,5,16,0,1
2023-07-26,WT0002R1,control,M,MLP,35,3,10,0,2
2023-07-26,WT0002R1,control,M,MLP,36,3,18,0,1
2023-07-26,WT0002R1,control,M,MLP,37,3,12,0,1
2023-07-26,WT0002R1,control,M,MLP,38,3,16,0,2
2023-07-26,WT0002R1,control,M,MLP,39,3,20,0,1
2023-07-26,WT0002R1,control,M,MLP,40,3,14,0,1
